time,seconds_elapsed,dBFS
1708009870825000000,49.607,-41
1708009870936000000,49.718,-35
1708009871052000000,49.834,-38
1708009871170000000,49.951999755859376,-38
1708009871285000000,50.067,-37
1708009871403000000,50.185,-34
1708009871518000000,50.30000024414063,-36
1708009871635000000,50.417,-32
1708009871753000000,50.535,-36
1708009871879000000,50.661,-32
1708009871997000000,50.779,-35
1708009872114000000,50.89599975585938,-37
1708009872230000000,51.01200024414062,-39
1708009872347000000,51.129,-36
1708009872463000000,51.245,-31
1708009872579000000,51.361,-33
1708009872696000000,51.478,-33
1708009872814000000,51.596000244140626,-25
1708009872924000000,51.706,-25
1708009873041000000,51.823,-35
1708009873158000000,51.94000024414063,-35
1708009873274000000,52.055999755859375,-32
1708009873391000000,52.173,-30
1708009873509000000,52.291,-32
1708009873625000000,52.407,-34
1708009873742000000,52.52400024414062,-33
1708009873858000000,52.63999975585938,-35
1708009873968000000,52.75,-34
1708009874087000000,52.869,-38
1708009874202000000,52.98399975585937,-36
1708009874318000000,53.100000244140624,-32
1708009874435000000,53.217,-32
1708009874552000000,53.334,-37
1708009874670000000,53.45200024414063,-36
1708009874787000000,53.569,-37
1708009874913000000,53.695,-34
1708009875031000000,53.813,-36
1708009875147000000,53.929,-36
1708009875264000000,54.046,-25
1708009875381000000,54.163,-22
1708009875496000000,54.278,-28
1708009875614000000,54.39600024414062,-19
1708009875730000000,54.51199975585938,-26
1708009875847000000,54.629,-30
1708009875958000000,54.740000244140624,-33
1708009876074000000,54.85599975585937,-25
1708009876191000000,54.973,-31
1708009876307000000,55.089,-24
1708009876424000000,55.206,-22
1708009876542000000,55.32400024414063,-30
1708009876657000000,55.439,-27
1708009876776000000,55.558,-25
1708009876891000000,55.673,-21
1708009877002000000,55.78399975585938,-28
1708009877118000000,55.90000024414063,-18
1708009877236000000,56.018,-18
1708009877352000000,56.134,-22
1708009877469000000,56.251,-26
1708009877585000000,56.367,-21
1708009877702000000,56.484000244140624,-15
1708009877819000000,56.601,-18
1708009877936000000,56.718,-13
1708009878046000000,56.828000244140625,-3
1708009878163000000,56.945,-13
1708009878279000000,57.061,-11
1708009878397000000,57.179,-12
1708009878513000000,57.295,-9
1708009878631000000,57.413,-9
1708009878747000000,57.529,-6
1708009878864000000,57.646,-5
1708009878975000000,57.757,-5
1708009879091000000,57.873,-4
1708009879208000000,57.99,-6
1708009879325000000,58.107,-7
1708009879440000000,58.222,-3
1708009879557000000,58.339,-6
1708009879674000000,58.455999755859374,-12
1708009879792000000,58.574,-3
1708009879908000000,58.69,-7
1708009880018000000,58.799999755859375,-6
1708009880135000000,58.917,-5
1708009880251000000,59.033,-3
1708009880369000000,59.151,-3
1708009880486000000,59.26800024414062,-4
1708009880601000000,59.383,0
1708009880719000000,59.501,-5
1708009880836000000,59.618,-5
